SWIFT CODE;NAME;ADDRESS
BSRAPLP1XXX;BANK SPOLDZIELCZY W RACIAZU;UL.MLAWSKA 20A  RACIAZ, POWIAT PLONSKI, 09-140
BSRLPLP1XXX;BANK SPOLDZIELCZY RZEMIOSLA W LODZI;UL.MONIUSZKI 6  LODZ, LODZKIE, 90-111
BSSOPLP1XXX;BANK SPOLDZIELCZY W SOKOLACH;UL.GEN.WL.SIKORSKIEGO 12 SOKOLY, POWIAT WYSOKOMAZOWIECKI 18-218
BSSTPLP1XXX;BANK SPOLDZIELCZY W STRZYZOWIE;UL.WYZWOLENIA 6  STRZEGOWO, MAZOWIECKIE, 06-445
BSTRPLP1XXX;BANK SPOLDZIELCZY W TERESINIE;UL.SZYMANOWSKA 14  TERESIN, MAZOWIECKIE, 96-515
BSWPPLP1XXX;BANK SPOLDZIELCZY 'WSPOLNA PRACA' W KUTNIE;UL.BARLICKIEGO 33  KUTNO, LODZKIE, 99-300
BSWRPLP1XXX;BANK SPOLDZIELCZY W WARCE;WARSZAWSKA 5  WARKA, MAZOWIECKIE, 05-660
BSZLPLP1XXX;BANK SPOLDZIELCZY ZIEMI LOWICKIEJ W LOWICZU;STARY RYNEK 18  LOWICZ, LODZKIE, 99-400
BUINBGSFXXX;ALLIANZ BANK BULGARIA AD;SREBARNA 16 PARK LANE OFFICE CENTER, FLOOR 6 SOFIA, SOFIA, 1407
BUIVBG21XXX;BULEX INVEST PLC;PETAR PARCHEVICH 9  VARNA, VARNA, 9000
CAIXPLPWXXX;CAIXABANK, S.A. (SPOLKA AKCYJNA) ODDZIAL W POLSCE;UL. PROSTA 51  WARSZAWA, MAZOWIECKIE, 00-838
CAMCCLR1XXX;CASA DE MONEDA DE CHILE;  
CBARAWAWXXX;CENTRALE BANK VAN ARUBA;J.E. IRAUSQUIN 8  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST 
CBBRLV22XXX;BLUOR BANK AS;SMILSU IELA 6  RIGA, RIGA, LV-1050
CBCUUYMFXXX;BANCO CENTRAL DEL URUGUAY;FABINI 777  MONTEVIDEO, MONTEVIDEO, 11100
CBCUUYMMFGD;BANCO CENTRAL DEL URUGUAY;  MONTEVIDEO, MONTEVIDEO
CBCUUYMMXXX;BANCO CENTRAL DEL URUGUAY;FLORIDA PAYSANDU MONTEVIDEO, MONTEVIDEO, 11000
CBOPPLP1XXX;BANK POLSKA KASA OPIEKI S.A.;WOLOSKA 18  WARSZAWA, MAZOWIECKIE, 02-675
CBSCCLR1XXX;SCOTIA AZUL CORREDORES DE BOLSA LIMITADA;  
CCBPMCM1XXX;BANQUE POPULAIRE MEDITERRANEE;SPORTING D'HIVER PLACE DU CASINO MONACO, MONACO, 98000
CCOACLR1XXX;BTG PACTUAL CHILE S.A. CORREDORES DE BOLSA;  
CDISALTRXXX;CREDINS BANK S.A.;VASO PASHA 8  TIRANA, TIRANA, 1019
CECBBGSFXXX;CENTRAL COOPERATIVE BANK PLC;TSARIGRADSKO SHOSE BLVD 87  SOFIA, SOFIA, 1113
